name,Nuclear
ASCO GR,1990.5
ATUCHA I,370.0
ATUCHA II,745.0
Almirante Ãlvaro Alberto - Unidade I (Antiga Angra I),640.0
Almirante Ãlvaro Alberto - Unidade II (Antiga Angra II),1350.0
Arkansas Nuclear One,1845.0
Armenian-2,375.0
BELLEVILLE,2620.0
BLAYAIS,3640.0
BROKDORF,1480.0
BUGEY,3580.0
Balakovo NPP,4000.0
Beaver Valley,1846.8
Beloyarsk,1480.0
Bilibino,48.0
Bohunice Nuclear Power Plant Slovakia,880.0
Borssele Nuclear Power Station,485.0
Braidwood Generation Station,2449.8
Browns Ferry,3494.0
Bruce A,3220.0
Bruce B,3390.0
Brunswick Nuclear,2003.2
Bushehr,1000.0
Byron Generating Station,2449.8
CATTENOM,5200.0
CEFR,20.0
CHINON,3620.0
CHOOZ,3000.0
CIVAUX,2990.0
CN ALMARAZ 1,2016.9
CN COFRENTES,1063.94
CRUAS,3660.0
Callaway,1235.8
Calvert Cliffs Nuclear Power Plant,1850.4
Catawba,2410.2
Changjiang,1220.0
Chasnupp,1330.0
Chinshan,1272.0
Clinton Power Station,1138.3
Columbia Generating Station,1200.0
Comanche Peak,2430.0
Cooper Nuclear Station,801.0
DAE RAJASTHAN,100.0
DAMPIERRE,3560.0
DOEL 4,2910.0
Darlington,3740.0
Davis Besse,925.2
Daya Bay,1888.0
Diablo Canyon,2323.0
Donald C Cook,2285.3
Dresden Generating Station,2018.6
Duane Arnold Energy Center,679.5
Dukonavy,2040.0
Dungeness B,1050.0
EMBALSE,648.0
EMSLAND,1406.0
Edwin I Hatch,1848.0
FESSENHEIM,1760.0
FLAMANVILLE,2660.0
Fangchenggang,2000.0
Fangjiashan,2024.0
Fermi,1281.0
Forsmark,3227.0
Fukushima Daina,4400.0
Fuqing,4000.0
GOLFECH,2620.0
GRAVELINES,5460.0
Genkai,3478.0
Grand Gulf,1440.0
Grohnde,1360.0
H B Robinson,768.6
Hamaoka,3617.0
Hanbit,5900.0
Hanul,5900.0
Harris,950.9
Hartlepool,1180.0
Heysham 1,1155.0
Heysham 2,1230.0
Higashi-Dori,1100.0
Hinkley Point B,955.0
Hongyanhe,4183.0
Hunterston B,965.0
ISAR-2,1485.0
Ikata,2022.0
Indian Point 2,1299.0
Indian Point 3,1012.0
James A Fitzpatrick,883.3
Joseph M Farley,1776.4
KAIGA,880.0
KAKRAPARA,440.0
KOZLODUY,2000.0
KUNDANKULAM,2000.0
Kalinn NPP,4000.0
Kanupp,137.0
Kashiwazaki Kariwa,8212.0
Kernkraft Gundremmingen,2572.0
Kernkraftwerk Beznau,760.0
Kernkraftwerk GÃ¶sgen,1035.0
Kernkraftwerk Leibstadt,1245.0
Kernkraftwerk MÃ¼hleberg,390.0
Khmelnytska,2000.0
Koeberg,1800.0
Kola NPP,1760.0
Kori,3137.0
Krsko (NEK),696.0
Kudankulam,2000.0
Kuosheng,2040.0
Kursk,4000.0
LaSalle Generating Station,2340.0
Laguna Verde,1510.0
Leningrad NPP,4000.0
Limerick,2277.0
Ling Ao,3914.0
Loviisa Y1,992.0
M.A.P.P.,440.0
Maanshan,1902.0
McGuire,2440.6
Mihama,826.0
Millstone,2162.9
Mochovce Nuclear Power Plant Slovakia,880.0
Monticello Nuclear Facility,685.0
N.A.P.S,440.0
NECKARWESTHEIM-2,1400.0
NOGENT,2620.0
NPP Cernavoda,1298.0
Nine Mile Point Nuclear Station,1901.1
Ningde,4072.0
North Anna,1960.4
Novovoronezh,1880.0
Oconee,2666.7
Ohi,4710.0
Olkiluoto 1,1760.0
Onagawa,2174.0
Oskarshamn,2603.0
PALUEL,5320.0
PENLY,2660.0
PHILIPPSBURG-2,1468.0
PSEG Hope Creek Generating Station,1290.7
PSEG Salem Generating Station,2381.8
Paksi AtomerÅmÅ±,1886.8
Palisades,811.8
Palo Verde,4209.6
Peach Bottom,2876.4
Perry,1311.6
Pickering A,1084.0
Pickering B,2160.0
Point Beach Nuclear Plant,1311.0
Point Lepreau,660.0
Prairie Island,1186.2
Qinshan 2,4101.0
Quad Cities Generating Station,2018.6
R E Ginna Nuclear Power Plant,614.0
R.A.P.S.,1080.0
Ringhals,3932.0
River Bend,1035.9
Rivne (Rouno),2835.0
Rostov NPP,4000.0
ST ALBAN,2670.0
ST LAURENT,1830.0
Seabrook,1242.0
Sendai,1780.0
Sequoyah,2441.0
Shika,1746.0
Shimane,820.0
Shin-Kori,3340.0
Shin-Wolsong,2000.0
Sizewell B,1198.0
Smolensk,3000.0
South Texas Project,2708.6
South Ukraine,3000.0
St Lucie,2160.0
Surry,1695.0
TARAPUR,1400.0
TIHANGE 1N,962.0
TIHANGE 3,2053.8
TRICASTIN 1,3660.0
TRILLO,1003.41
Takahama,3392.0
TalenEnergy Susquehanna,2532.0
TemelÃ­n,2133.0
Tianwan,1980.0
Tokai Daini,1100.0
Tomari,2000.0
Torness,1185.0
Tsuruga,1160.0
Turkey Point,2861.2
V C Summer,1029.6
VANDELLOS GR 2,1045.31
Vogtle,2430.0
Waterford 3,1199.8
Watts Bar Nuclear Plant,2539.8
Wolf Creek Generating Station,1267.7
Wolsong,2799.0
Yangjiang,4000.0
Zaporozhye,6000.0
